"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"75","7","Mike Evans","SF","WR27","","",""
"76","7","Carnell Tate","TEN","WR28","","",""
"77","7","Kyle Monangai","CHI","RB30","","",""
"78","7","Jordyn Tyson","NO","WR29","","",""
"79","7","Harold Fannin","CLE","TE6","","",""
"80","7","Jared Goff","DET","QB15","","",""
"81","7","Rome Odunze","CHI","WR30","","",""
"82","7","Tony Pollard","TEN","RB31","","",""
"83","7","Tucker Kraft","GB","TE7","","",""
"84","7","Christian Watson","GB","WR31","","",""
"85","8","Jordan Love","GB","QB16","","",""
"86","8","Rico Dowdle","PIT","RB32","","",""
"87","8","Chuba Hubbard","CAR","RB33","","",""
"88","8","Matthew Stafford","LAR","QB17","","",""
"89","8","Blake Corum","LAR","RB34","","",""
"90","8","J.K. Dobbins","DEN","RB35","","",""
"91","8","Kyle Pitts","ATL","TE8","","",""
"92","8","Parker Washington","JAX","WR32","","",""
"93","8","Baker Mayfield","TB","QB18","","",""
"94","8","Courtland Sutton","DEN","WR33","","",""
"95","8","DK Metcalf","PIT","WR34","","",""
"96","8","Marvin Harrison","ARI","WR35","","",""
"97","9","Brian Thomas","JAX","WR36","","",""
"98","9","Michael Wilson","ARI","WR37","","",""
"99","9","Jakobi Meyers","JAX","WR38","","",""
"100","9","Brian Robinson","ATL","RB36","","",""
"101","9","Dalton Kincaid","BUF","TE9","","",""
"102","9","Oronde Gadsden","LAC","TE10","","",""
"103","9","George Kittle","SF","TE11","","",""
"104","9","Aaron Jones","MIN","RB37","","",""
"105","9","Kenny Gainwell","TB","RB38","","",""
"106","9","Tyler Shough","NO","QB19","","",""
"107","9","Jonathon Brooks","CAR","RB39","","",""
"108","9","Chris Godwin","TB","WR39","","",""
"109","10","Makai Lemon","PHI","WR40","","",""
"110","10","Sam Darnold","SEA","QB20","","",""
"111","10","Travis Kelce","KC","TE12","","",""
"112","10","Tyler Allgeier","ARI","RB40","","",""
"113","10","Kyler Murray","MIN","QB21","","",""
"114","10","Hunter Henry","NE","TE13","","",""
"115","10","James Conner","ARI","RB41","","",""
"116","10","Alec Pierce","IND","WR41","","",""
"117","10","Dallas Goedert","PHI","TE14","","",""
"118","10","Jacory Croskey-Merritt","WAS","RB42","","",""
"119","10","Fernando Mendoza","LV","QB22","","",""
"120","10","Jordan Mason","MIN","RB43","","",""
"121","10","Mark Andrews","BAL","TE15","","",""
"122","10","Jake Ferguson","DAL","TE16","","",""
"123","10","Dalton Schultz","HOU","TE17","","",""
"124","10","Jordan Addison","MIN","WR42","","",""
"125","10","C.J. Stroud","HOU","QB23","","",""
"126","10","Jayden Reed","GB","WR43","","",""
"127","10","Zach Charbonnet","SEA","RB44","","",""
"128","10","Quentin Johnston","LAC","WR44","","",""
"129","10","Juwan Johnson","NO","TE18","","",""
"130","10","Michael Pittman","PIT","WR45","","",""
"131","10","Brenton Strange","JAX","TE19","","",""
"132","10","Cam Ward","TEN","QB24","","",""
"133","10","Wan'Dale Robinson","TEN","WR46","","",""
"134","10","Woody Marks","HOU","RB45","","",""
"135","10","Isaiah Likely","NYG","TE20","","",""
"136","10","Stefon Diggs","WAS","WR47","","",""
"137","10","Kenyon Sadiq","NYJ","TE21","","",""
"138","10","Tyrone Tracy","NYG","RB46","","",""
"139","10","Josh Downs","IND","WR48","","",""
"140","10","Travis Hunter","JAX","WR49","","",""
"141","10","KC Concepcion","CLE","WR50","","",""
"142","10","Emmett Johnson","KC","RB47","","",""
"143","10","Trey Benson","ARI","RB48","","",""
"144","10","Romeo Doubs","NE","WR51","","",""
"145","10","De'Zhaun Stribling","SF","WR52","","",""
"146","10","Jonah Coleman","DEN","RB49","","",""
"147","10","Malik Willis","MIA","QB25","","",""
"148","10","Alvin Kamara","NO","RB50","","",""
"149","10","Khalil Shakir","BUF","WR53","","",""
"150","10","Matthew Golden","GB","WR54","","",""
"151","11","Tyjae Spears","TEN","RB51","","",""
"152","11","Xavier Worthy","KC","WR55","","",""
"153","11","Jauan Jennings","MIN","WR56","","",""
"154","11","Rachaad White","WAS","RB52","","",""
"155","11","Chris Rodriguez","JAX","RB53","","",""
"156","11","AJ Barner","SEA","TE22","","",""
"157","11","Jayden Higgins","HOU","WR57","","",""
"158","11","Bryce Young","CAR","QB26","","",""
"159","11","T.J. Hockenson","MIN","TE23","","",""
"160","11","Dylan Sampson","CLE","RB54","","",""
"161","11","Daniel Jones","IND","QB27","","",""
"162","11","David Njoku","LAC","TE24","","",""
"163","11","Deebo Samuel","SF","WR58","","",""
"164","11","Jalen Coker","CAR","WR59","","",""
"165","11","Braelon Allen","NYJ","RB55","","",""
"166","11","Colby Parkinson","LAR","TE25","","",""
"167","11","MarShawn Lloyd","GB","RB56","","",""
"168","11","Chig Okonkwo","WAS","TE26","","",""
"169","11","Mike Washington","LV","RB57","","",""
"170","11","Mason Taylor","NYJ","TE27","","",""
"171","11","Eli Stowers","PHI","TE28","","",""
"172","11","Kimani Vidal","LAC","RB58","","",""
"173","11","Terrance Ferguson","LAR","TE29","","",""
"174","11","Theo Johnson","NYG","TE30","","",""
"175","11","Ja'Kobi Lane","BAL","WR60","","",""
"176","11","Tank Bigsby","PHI","RB59","","",""
"177","11","Cade Otton","TB","TE31","","",""
"178","11","Keaton Mitchell","LAC","RB60","","",""
"179","11","Rashid Shaheed","SEA","WR61","","",""
"180","11","Isiah Pacheco","DET","RB61","","",""
"181","12","Omar Cooper","NYJ","WR62","","",""
"182","12","Denzel Boston","CLE","WR63","","",""
"183","12","Gunnar Helm","TEN","TE32","","",""
"184","12","Sean Tucker","TB","RB62","","",""
"185","12","Antonio Williams","WAS","WR64","","",""
"186","12","Kaytron Allen","WAS","RB63","","",""
"187","12","Jerry Jeudy","CLE","WR65","","",""
"188","12","Kaelon Black","SF","RB64","","",""
"189","12","Emanuel Wilson","SEA","RB65","","",""
"190","12","Adonai Mitchell","NYJ","WR66","","",""
"191","12","Kayshon Boutte","HOU","WR67","","",""
"192","12","Jalen McMillan","TB","WR68","","",""
"193","12","Nicholas Singleton","TEN","RB66","","",""
"194","12","Ray Davis","BUF","RB67","","",""
"195","12","Devin Neal","NO","RB68","","",""
"196","12","Jalen Nailor","LV","WR69","","",""
"197","12","Najee Harris","NYG","RB69","","",""
"198","12","Troy Franklin","DEN","WR70","","",""
"199","12","Pat Bryant","DEN","WR71","","",""
"200","12","Kaleb Johnson","GB","RB70","","",""
"201","12","Jaylen Wright","MIA","RB71","","",""
"202","12","Chimere Dike","TEN","WR72","","",""
"203","12","Ben Roethlisberger","PIT","QB28","","",""
"204","12","Demond Claiborne","MIN","RB72","","",""
"205","12","Malik Washington","MIA","WR73","","",""
"206","12","Brandon Aiyuk","SF","WR74","","",""
"207","12","Cyrus Allen","KC","WR75","","",""
"208","12","Jake Tonges","SF","TE33","","",""
"209","12","Keenan Allen","IND","WR76","","",""
"210","12","Jacoby Brissett","ARI","QB29","","",""
"211","13","Tre' Harris","LAC","WR77","","",""
"212","13","Calvin Ridley","TEN","WR78","","",""
"213","13","Kendre Miller","NO","RB73","","",""
"214","13","Brashard Smith","KC","RB74","","",""
"215","13","Tre Tucker","LV","WR79","","",""
"216","13","Isaac TeSlaa","DET","WR80","","",""
"217","13","Elic Ayomanor","TEN","WR81","","",""
"218","13","Zachariah Branch","ATL","WR82","","",""
"219","13","Aaron Rodgers","PIT","QB30","","",""
"220","13","Tank Dell","HOU","WR83","","",""
"221","13","Jaydon Blue","PHI","RB75","","",""
"222","13","Audric Estime","NO","RB76","","",""
"223","13","Jaylin Noel","HOU","WR84","","",""
"224","13","Marvin Mims","DEN","WR85","","",""
"225","13","Darnell Mooney","NYG","WR86","","",""
"226","13","Germie Bernard","PIT","WR87","","",""
"227","13","Kyle Williams","NE","WR88","","",""
"228","13","Ted Hurst","TB","WR89","","",""
"229","13","Caleb Douglas","MIA","WR90","","",""
"230","13","Cooper Kupp","SEA","WR91","","",""
"231","13","Ryan Flournoy","DAL","WR92","","",""
"232","13","Tory Horton","SEA","WR93","","",""
"233","13","Elijah Sarratt","BAL","WR94","","",""
"234","13","Malachi Fields","NYG","WR95","","",""
"235","13","Chris Bell","MIA","WR96","","",""
"236","13","Rashod Bateman","BAL","WR97","","",""
"237","13","Dontayvion Wicks","PHI","WR98","","",""
"238","13","Keon Coleman","BUF","WR99","","",""
"239","13","Jack Bech","LV","WR100","","",""
"240","13","Devaughn Vele","NO","WR101","","",""
"241","14","Geno Smith","NYJ","QB31","","",""
"242","14","Christian Kirk","SF","WR102","","",""
"243","14","Max Klare","LAR","TE34","","",""
"244","14","Arizona Cardinals","ARI","DST1","","",""
"245","14","Atlanta Falcons","ATL","DST2","","",""
"246","14","Baltimore Ravens","BAL","DST3","","",""
"247","14","Buffalo Bills","BUF","DST4","","",""
"248","14","Carolina Panthers","CAR","DST5","","",""
"249","14","Chicago Bears","CHI","DST6","","",""
"250","14","Cincinnati Bengals","CIN","DST7","","",""
"251","14","Cleveland Browns","CLE","DST8","","",""
"252","14","Dallas Cowboys","DAL","DST9","","",""
"253","14","Denver Broncos","DEN","DST10","","",""
"254","14","Detroit Lions","DET","DST11","","",""
"255","14","Eric Ebron","PIT","TE35","","",""
"256","14","Green Bay Packers","GB","DST12","","",""
"257","14","Houston Texans","HOU","DST13","","",""
"258","14","Indianapolis Colts","IND","DST14","","",""
"259","14","Jacksonville Jaguars","JAX","DST15","","",""
"260","14","Kansas City Chiefs","KC","DST16","","",""
"261","14","Las Vegas Raiders","LV","DST17","","",""
"262","14","Los Angeles Chargers","LAC","DST18","","",""
"263","14","Los Angeles Rams","LAR","DST19","","",""
"264","14","Miami Dolphins","MIA","DST20","","",""
"265","14","Minnesota Vikings","MIN","DST21","","",""
"266","14","New England Patriots","NE","DST22","","",""
"267","14","New Orleans Saints","NO","DST23","","",""
"268","14","New York Giants","NYG","DST24","","",""
"269","14","New York Jets","NYJ","DST25","","",""
"270","14","Philadelphia Eagles","PHI","DST26","","",""
"271","15","Pittsburgh Steelers","PIT","DST27","","",""
"272","15","San Francisco 49ers","SF","DST28","","",""
"273","15","Seattle Seahawks","SEA","DST29","","",""
"274","15","Tampa Bay Buccaneers","TB","DST30","","",""
"275","15","Tennessee Titans","TEN","DST31","","",""
"276","15","Washington Commanders","WAS","DST32","","",""
"277","15","Justice Hill","BAL","RB77","","",""
"278","15","J.J. McCarthy","MIN","QB32","","",""
"279","15","Jordan James","SF","RB78","","",""
"280","15","Shedeur Sanders","CLE","QB33","","",""
"281","15","Michael Penix","ATL","QB34","","",""
"282","15","Greg Dulcich","MIA","TE36","","",""
"283","15","Pat Freiermuth","PIT","TE37","","",""
"284","15","Tua Tagovailoa","ATL","QB35","","",""
"285","15","Kole Wilson","CLE","WR103","","",""
"286","15","Brandon Aubrey","DAL","K1","","",""
"287","15","Malachi Corley","CLE","WR104","","",""
"288","15","Ty Simpson","LAR","QB36","","",""
"289","15","Jelani Woods","NYJ","TE38","","",""
"290","15","Coleman Owen","IND","WR105","","",""
"291","15","Ricky Pearsall","SF","WR106","","",""
"292","15","Dylan Drummond","ATL","WR107","","",""
"293","15","Quintin Morris","JAX","TE39","","",""
"294","15","Mark Redman","GB","TE40","","",""
"295","15","Princeton Fant","DAL","TE41","","",""
"296","15","Ian Thomas","LV","TE42","","",""
"297","15","Cameron Dicker","LAC","K2","","",""
"298","15","Jason Myers","SEA","K3","","",""
"299","15","Ka'imi Fairbairn","HOU","K4","","",""
"300","15","Dallen Bentley","DEN","TE43","","",""
